"","Agrupamento_Decreto","Agrupamento Geral","Tipo Função Detalhada2","Subnível Função2"
"298","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"299","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"300","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"301","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"302","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"303","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"304","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"305","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"306","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"307","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"308","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"309","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"310","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"311","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
"312","CCE & FCE","CCE & FCE","Comissionados de Direção e Assessoramento","FCE-0102"
